14524    ,112      ,5.99     ,6.99     ,5.99     
14527    ,9        ,4.99     ,5.99     ,4.99     
814524   ,0        ,59.99    ,72.10    ,59.99    
814523   ,0        ,39.99    ,48.06    ,39.99    
814522   ,0        ,19.99    ,24.02    ,19.99    
14523    ,61       ,21.99    ,26.43    ,21.99    
14522    ,75       ,14.99    ,24.99    ,14.99    
19471    ,421      ,10.99    ,10.99    ,10.99    
19470    ,2079     ,12.99    ,12.99    ,12.99    
19473    ,27       ,12.99    ,14.99    ,12.99    
17511    ,86       ,24.99    ,30.03    ,24.99    
19490    ,171      ,8.99     ,9.99     ,8.99     
19482    ,1775     ,12.99    ,18.99    ,12.99    
19495    ,191      ,36.99    ,39.99    ,36.99    
19178    ,17       ,14.99    ,19.99    ,14.99    
19189    ,1294     ,48.99    ,64.99    ,48.99    
19193    ,36       ,34.99    ,39.99    ,34.99    
19192    ,765      ,22.99    ,24.99    ,22.99    
19187    ,1414     ,20.99    ,27.99    ,20.99    
24568    ,53       ,8.49     ,10.20    ,8.49     
24569    ,50       ,7.99     ,9.60     ,7.99     
19185    ,113      ,19.99    ,21.99    ,19.99    
14474    ,305      ,9.99     ,12.99    ,9.99     
19179    ,121      ,29.99    ,36.99    ,29.99    
19109    ,0        ,16.99    ,17.99    ,16.99    
17458    ,21       ,7.99     ,9.60     ,7.99     
17456    ,87       ,13.99    ,16.99    ,13.99    
19476    ,130      ,14.99    ,14.99    ,14.99    
19180    ,72       ,16.99    ,17.99    ,16.99    
19175    ,73       ,34.99    ,36.99    ,34.99    
17457    ,148      ,5.99     ,7.19     ,5.99     
17455    ,98       ,7.99     ,8.99     ,7.99     
17453    ,143      ,19.99    ,24.99    ,19.99    
19484    ,139      ,19.99    ,19.99    ,19.99    
24148    ,32       ,11.99    ,14.41    ,11.99    
74969    ,5        ,10.99    ,12.99    ,10.99    
19391    ,286      ,34.99    ,36.99    ,34.99    
19454    ,45       ,8.99     ,11.99    ,8.99     
19483    ,1634     ,22.99    ,26.99    ,22.99    
17512    ,54       ,13.99    ,16.81    ,13.99    
17480    ,2714     ,8.49     ,8.99     ,8.49     
17482    ,179      ,10.99    ,12.99    ,10.99    
817403   ,0        ,209.99   ,252.39   ,209.99   
17417    ,1305     ,39.99    ,49.99    ,39.99    
17415    ,1024     ,89.99    ,109.99   ,89.99    
17418    ,558      ,129.99   ,199.99   ,129.99   
17403    ,2307     ,19.99    ,24.02    ,19.99    
17481    ,545      ,16.49    ,17.99    ,16.49    
17419    ,0        ,29.99    ,36.04    ,29.99    
19480    ,434      ,8.99     ,10.99    ,8.99     
19475    ,38       ,13.99    ,16.99    ,13.99    
24210    ,121      ,15.99    ,19.99    ,15.99    
24277    ,97       ,36.99    ,39.99    ,36.99    
24279    ,106      ,7.49     ,9.99     ,7.49     
24582    ,45       ,5.99     ,7.19     ,5.99     
24136    ,211      ,11.99    ,14.41    ,11.99    
24562    ,42       ,9.99     ,12.00    ,9.99     
